L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-prefetches,LLC-stores,branch-instructions,branch-load-misses,branch-loads,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,instructions,ref-cycles,stalled-cycles-frontend,class
"24,991","262,340","1,760","2,958","313,686","88,026","31,000","3,887","7,746","199,368","30,509","199,368","21,124","143,685","4,055","62,996","2,777,412","7,141","324,418","1,429","318,398","5,778",234,"14,905,284","5,102,720","2,069,515",yes
"85,747","1,431,884","31,624","41,973","850,355","147,374","51,043","25,281","15,798","795,912","54,387","795,912","61,014","1,017,658","63,442","313,554","17,848,584","12,789","4,406,014","1,158","2,240,831","4,630","3,047","4,899,100","15,862,720","12,158,477",yes
"149,785","3,433,864","2,840","6,017","2,802,407","262,940","88,239","43,216","9,135","2,426,720","44,597","2,426,720","97,442","217,961","11,068","110,938","4,390,090","11,149","1,478,145",637,"869,379","2,158","7,244","782,565","28,143,424","3,331,673",yes
"37,380","517,656","3,244","6,851","185,967","46,964","16,622","3,438","6,828","299,644","29,719","300,232","32,943","286,629","14,689","135,054","5,181,483","6,673","289,859","2,081","290,189","8,086",379,"16,097,948","7,947,872","4,159,497",yes
"86,727","1,447,929","30,970","41,994","643,911","85,559","33,312","23,339","18,459","803,158","71,263","802,570","60,087","938,779","58,887","283,121","16,586,347","14,478","4,706,578","1,310","2,394,143","6,351","3,356","10,303,728","15,342,400","11,084,216",yes
"133,922","2,870,308","16,417","23,637","2,925,892","273,828","92,348","44,322","8,503","2,117,861","40,094","2,117,861","82,468","359,291","20,504","120,027","7,060,805","9,928","997,922",994,"628,859","3,592","6,587","1,118,202","26,191,488","4,563,644",yes
"80,636","1,451,153","4,688","10,105","240,693","69,440","23,568","4,036","6,990","816,709","31,191","816,709","53,351","417,241","23,107","199,256","7,561,012","7,757","311,409","1,608","328,722","6,779","2,567","14,998,523","12,634,080","5,962,309",yes
"70,726","1,118,196","30,541","41,415","632,682","83,430","32,758","23,309","17,412","621,135","69,237","621,135","47,774","887,302","58,197","270,246","16,523,369","15,862","4,593,734","1,198","2,332,717","4,853","2,073","4,928,439","10,300,928","11,052,145",yes
"145,110","2,742,489","2,790","5,341","2,867,849","275,542","91,963","43,629","12,730","2,000,480","63,058","2,000,480","91,503","241,169","15,518","110,603","4,673,829","12,940","1,343,412",776,"850,248","2,587","6,712","955,224","26,945,728","3,755,552",yes
"38,379","343,827","2,734","5,541","197,970","53,817","19,082","3,505","5,766","258,972","26,020","258,972","32,458","249,117","9,757","106,369","4,391,626","5,945","264,444","1,480","252,455","6,134","1,704","14,926,618","8,103,296","3,467,991",yes
"63,115","513,598","30,578","41,829","298,549","65,638","22,814","14,872","18,580","397,295","72,423","397,295","47,585","906,384","58,006","256,678","16,020,069","13,715","5,018,315","1,238","2,511,824","5,887","2,448","3,876,062","12,096,608","10,565,205",yes
"146,381","3,285,100","5,877","14,574","2,853,260","249,695","85,585","49,045","7,142","2,179,006","36,686","2,179,006","88,909","432,408","23,093","167,737","8,420,998","9,159","949,873",653,"604,327","2,335","7,756","825,964","25,942,176","6,707,988",yes
"40,962","365,241","8,214","11,564","598,975","106,733","41,868","6,585","9,674","271,260","44,138","271,260","32,982","363,339","13,719","165,597","6,728,338","6,711","551,819","1,544","423,633","6,173",639,"14,946,840","8,134,816","4,841,619",yes
"32,213","310,573","16,678","23,379","166,606","42,221","14,155","2,787","15,642","236,077","55,469","236,077","25,581","542,334","33,817","187,383","9,487,644","13,079","4,419,479",988,"2,232,186","3,846",365,"3,122,642","6,087,648","6,826,300",yes
"146,611","2,785,112","11,052","18,185","3,357,013","273,859","97,040","80,679","9,158","1,848,353","43,180","1,848,353","91,073","478,796","32,236","167,572","9,177,003","11,080","1,030,972",836,"670,181","2,906","7,154","1,046,317","26,676,448","6,504,902",yes
"55,340","880,724","10,316","16,113","638,663","120,715","46,233","6,756","13,629","617,213","50,187","617,213","41,365","548,688","30,617","229,613","9,798,784","7,550","1,327,164","1,604","700,992","7,013","1,136","15,141,434","11,049,472","7,323,198",yes
"42,437","715,364","7,295","11,585","198,823","48,377","17,207","3,239","20,206","566,300","82,977","566,300","32,679","409,132","22,521","160,984","7,328,766","17,625","4,819,103",877,"2,476,519","3,595","1,062","3,023,317","9,291,040","5,532,454",yes
"136,363","2,595,030","20,499","28,925","2,598,355","154,110","63,175","57,098","6,148","1,607,317","27,636","1,607,317","88,196","626,740","42,000","200,889","11,503,636","7,407","915,544",502,"551,756","1,362","7,057","621,563","24,540,544","7,908,642",yes
"56,347","882,188","9,774","12,539","966,896","214,014","64,928","9,793","6,961","614,818","31,850","614,818","41,735","424,138","20,687","157,697","7,632,486","7,223","304,141","1,799","307,914","7,337","1,157","15,364,691","11,523,712","5,223,961",yes
"42,584","370,005","8,997","17,258","236,109","65,018","22,023","3,672","19,444","281,814","76,556","281,814","35,831","561,242","32,517","227,449","10,052,730","16,035","4,742,075",472,"2,417,636","1,691",849,"1,949,001","8,914,688","7,635,780",yes
"130,830","2,796,100","19,415","28,718","2,206,817","125,477","59,359","55,551","5,883","1,858,690","28,133","1,858,690","78,346","554,436","31,264","205,586","10,266,743","6,581","287,554",997,"273,208","3,682","6,950","1,833,328","22,712,192","6,904,426",yes
"57,001","887,610","9,456","11,771","1,318,654","234,665","66,518","13,204","7,606","620,148","39,160","620,148","43,261","372,149","18,019","133,018","6,781,118","9,309","977,194","1,875","620,707","8,128","1,133","17,363,206","11,783,296","4,508,047",yes
"54,929","887,273","11,970","25,138","282,110","72,192","25,502","4,874","15,874","694,889","59,549","694,889","39,549","828,051","62,757","292,609","14,180,420","14,236","4,436,361",860,"2,259,380","3,230",657,"1,055,736","10,610,336","11,163,925",yes
"337,176","5,792,233","17,879","24,002","1,281,533","107,653","48,858","38,761","10,762","4,582,743","54,360","4,582,743","136,876","436,827","29,425","174,184","8,755,497","9,772","647,050",441,"500,127","1,119","9,440","531,751","48,377,472","6,002,932",yes
"496,727","6,865,413","13,193","17,507","2,225,276","246,698","74,858","27,476","8,965","5,430,307","43,407","5,430,307","221,379","562,667","31,782","198,912","9,601,519","10,374","1,009,000","1,669","651,600","7,656","13,013","16,362,508","57,902,816","6,748,268",yes
"43,654","1,057,051","5,468","11,040","192,770","53,292","18,562","3,504","17,485","834,380","61,760","834,380","28,005","432,542","29,019","170,196","7,578,606","14,969","4,472,537",922,"2,301,221","3,385",910,"1,924,135","7,980,608","5,788,884",yes
"152,530","2,705,714","17,716","23,654","681,532","97,843","36,898","23,959","8,375","1,698,693","41,402","1,698,693","97,509","439,813","23,245","159,190","8,239,141","10,000","1,016,591",673,"654,910","2,413","7,537","3,995,202","26,007,200","5,501,945",yes
"53,544","442,708","12,425","16,105","2,869,850","266,150","90,342","43,771","17,678","329,444","97,438","329,444","44,046","478,428","24,684","163,275","8,384,494","18,088","1,039,416","1,744","824,098","7,697","1,067","17,200,534","9,915,904","5,702,544",yes
"36,943","994,077","4,808","9,019","251,158","67,862","25,636","3,624","16,560","790,457","57,517","790,457","25,204","386,342","23,693","156,595","6,660,400","13,965","4,620,991",910,"2,323,738","3,631",374,"3,137,174","8,020,832","5,033,631",yes
"161,458","2,777,778","18,576","26,101","1,055,413","218,094","80,594","27,064","8,189","1,739,910","36,952","1,739,910","101,035","484,168","33,327","196,557","9,699,309","10,098","1,044,355","1,487","632,870","6,889","7,818","2,690,556","28,003,776","6,795,930",yes
"34,647","329,291","18,072","26,317","3,017,508","318,430","110,658","44,889","5,129","253,621","20,709","253,621","26,435","570,233","30,476","170,271","10,053,327","4,084","229,289","1,319","214,121","5,670",442,"14,729,029","6,316,288","6,474,656",yes
"45,847","1,211,640","4,861","9,611","326,199","84,165","31,096","4,440","22,016","887,111","93,244","887,111","31,136","377,171","23,351","147,375","6,686,472","17,748","5,035,268","2,261","2,573,921","8,756",510,"5,765,206","9,982,720","5,048,773",yes
"129,300","1,821,035","17,712","24,151","672,590","93,392","36,480","23,447","14,530","1,259,867","58,760","1,259,867","84,897","448,070","25,816","159,063","8,436,442","12,918","2,896,004",695,"2,399,205","2,324","7,440","822,057","24,318,880","5,695,924",yes
"70,591","1,251,721","13,486","18,441","2,931,029","293,520","98,329","44,172","6,135","727,572","28,173","727,572","52,812","586,109","32,210","200,578","10,287,874","6,557","278,167",652,"288,527","2,006","2,256","12,714,137","11,534,016","7,270,831",yes
"34,822","992,669","4,752","9,121","440,064","99,268","36,349","5,745","12,507","794,085","41,258","794,085","22,142","376,126","22,974","154,525","6,649,660","8,702","3,879,708","1,697","1,931,121","7,197",433,"5,113,075","7,094,208","5,035,111",yes
"100,752","1,547,373","20,457","30,882","615,314","81,894","31,859","23,022","16,661","1,115,786","77,451","1,115,786","66,637","596,870","36,241","200,396","10,618,700","16,901","1,891,651",722,"1,130,968","2,390","5,135","859,432","19,557,248","7,131,309",yes
"85,165","1,440,959","12,897","17,157","3,444,630","274,519","90,476","47,941","11,114","800,164","55,891","800,164","59,805","439,058","25,079","151,888","8,459,155","12,837","519,244","1,949","507,074","10,402","2,776","15,227,579","14,067,968","5,766,813",yes
"39,244","1,059,047","5,544","11,304","327,348","93,807","34,806","4,035","12,843","848,402","39,351","848,402","25,355","394,449","32,332","184,986","8,685,843","8,470","3,916,439","1,472","1,940,955","6,279",642,"4,508,056","7,964,128","6,887,542",yes
"113,208","1,598,997","18,133","25,151","702,455","104,641","39,619","24,055","10,521","1,147,671","52,990","1,147,671","78,625","478,146","26,756","183,417","8,698,940","13,275","1,447,925",750,"889,926","2,934","5,434","964,919","22,632,704","5,906,042",yes
"79,109","1,398,510","14,684","22,292","3,400,351","351,803","114,854","47,951","12,946","767,029","65,593","767,029","56,850","612,537","36,238","203,069","11,251,537","9,969","886,321",847,"612,843","3,098","3,138","10,709,612","13,135,008","7,879,875",yes
